s,n,alpha,v,traj_x,traj_y
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.23993172571201105,0.0,0.0
0.004762950484108256,0.0005841197541518467,0.0022914827911606457,0.43187698278688785,0.004761545912339994,0.0005954609356924892
0.013336262993971539,0.0016557220267393773,0.006420503463855282,0.5854330803036786,0.013325018396160602,0.0017241956063463854
0.024957960314954862,0.003156536341582479,0.012019482947115797,0.7082778552077762,0.024917461993135732,0.003369824124753084
0.0390184510700242,0.005051042708906711,0.018794361426736968,0.8065535715779967,0.03891613070374559,0.0055379069415194245
0.05503004996559968,0.007316759707240092,0.026509895951548217,0.885174036194185,0.054818909234230634,0.008242319604877417
0.07260260448293547,0.009938553189465531,0.034977892979756856,0.9480702902350407,0.07222047883769868,0.011498101387350591
0.09142399763990106,0.012905370219593877,0.04404779368724006,0.9983871623238977,0.09079318930247239,0.015318048935204878
0.11124454859022795,0.01620841464299578,0.05359914301453528,1.038640510763772,0.11027172813122002,0.01971140355616448
0.13186453092898615,0.019840163608789842,0.06353556598424956,1.0708430171582133,0.13044083319587366,0.02468364892580276
0.15312418546145484,0.02379386249159343,0.07377994968068381,1.0966048211492057,0.15112543943475829,0.03023684651715474
0.17489572904248057,0.02806328265149258,0.08427058950448003,1.1172140280448242,0.17218277227904735,0.03637018548535911
0.1970769607298635,0.03264261638600335,0.0949581066138342,1.1337011147484921,0.19349599964705255,0.04308057309990464
0.21958614613786095,0.03752643780176058,0.10580298213594283,1.1468904543170344,0.2149691333672285,0.05036317949731335
0.24235792459225325,0.04270969072911757,0.11677358466924338,1.1574415354071481,0.2365229334369427,0.05821190055813816
0.2653400346828077,0.048187683723211326,0.12784459233533663,1.1658819376149756,0.2580916179870146,0.06661973005995962
0.28849069462867044,0.05395608294408925,0.13899573041792235,1.1726337115134493,0.27962022102137535,0.07557904618175562
0.31177650654807865,0.06001089957310237,0.15021076143874515,1.1780344824380646,0.30106247116985785,0.08508182361347148
0.33517077987941235,0.06634847142355332,0.16147667716330363,1.1823543332741784,0.3223790895624747,0.09511978440034718
0.3586521901355362,0.07296543976988523,0.17278305213827735,1.1858093104696716,0.34353642484140784,0.10568450027818505
0.38220370592843006,0.07985872288937002,0.18412152644682137,1.188572228687482,0.3645053593041672,0.11676745783104384
0.40581173061006565,0.08702548781818929,0.19548539183343597,1.1907813144855006,0.3852604330196651,0.128360096002783
0.42946541560632956,0.09446312161993702,0.20686926052178656,1.192547121420187,0.4057791431057429,0.14045382368079815
0.45315611110868986,0.10216920318739728,0.21826880018622058,1.193958062622426,0.42604138369683453,0.15304002342184359
0.4768769266620755,0.1101414763204706,0.22968052184842075,1.1950848378762635,0.4460289988569196,0.16611004597807194
0.5006223796907167,0.11837782457871178,0.24110161012074616,1.1959839770969756,0.465725426119566,0.17965519912062466
0.5243881144119439,0.12687624820924498,0.252529787340319,1.196700678122992,0.48511541271545,0.19366673333330847
0.5481706771225459,0.1356348433019975,0.2639632048396047,1.197271081680267,0.5041847900812756,0.20813582623269938
0.5719673366804946,0.14465178322101468,0.2754003559655977,1.1977240980630652,0.5229202950957563,0.22305356703232365
0.5957759412805717,0.15392530229461082,0.2868400065551452,1.1980828760788738,0.541309428783542,0.23841094197210655
0.6195948044214654,0.16345368170059082,0.29828113943952744,1.1983659838334944,0.5593403450527205,0.25419882133317473
0.6434226143442984,0.17323523743420716,0.30972291021640147,1.198588354630704,0.5770017634538074,0.27040794840234617
0.6672583622810119,0.18326831019320994,0.32116461203641156,1.1987620411122173,0.5942829010618871,0.2870289305252125
0.6911012857078552,0.19355125697606843,0.33260564756373295,1.1988968131577074,0.6111734194975028,0.30405223221718636
0.7149508235049467,0.20408244416779614,0.3440455066088287,1.19900062575013,0.6276633838613266,0.32146817018507423
0.7388065804434903,0.21486024185162828,0.35548374818148215,1.1990799752552141,0.6437432309473917,0.3392669099907222
0.7626682987886405,0.2258830190289432,0.366919985887593,1.199140162752763,0.6594037445574744,0.35743846395150014
0.786535835176209,0.2371491394128231,0.3783538757701672,1.1991854887950963,0.6746360361810642,0.37597268981568877
0.8104091414059921,0.24865695753585848,0.3897851059262567,1.199219405893923,0.6894315297895686,0.3948592898596177
0.8342882483179155,0.26040481505383056,0.4012133874806768,1.1992446489448338,0.7037819499455995,0.41408781027769276
0.8581732523200535,0.2723910372564022,0.4126384466873825,1.199263353804416,0.7176793127406206,0.43364764094206437
0.8820643043421369,0.2846139298608035,0.42406001802304755,1.1992771661719213,0.7311159192187168,0.45352801570532525
0.9059616010326493,0.29707177616410996,0.4354778381529991,1.1992873391655725,0.7440843509742555,0.47371801340740066
0.929865377987528,0.3097628345933431,0.4468916406280738,1.199294817625404,0.756577467599794,0.4942065596773947
0.9537759047616063,0.32268533664958515,0.45830115114431,1.1993003083500497,0.7685884056556802,0.5149824295426058
0.97769348140094,0.3358374852088073,0.46970608317975365,1.1993043368169436,0.7801105788505598,0.5360342507975426
1.001618436248577,0.3492174531223641,0.4811061338148369,1.1993072918539258,0.7911376791594145,0.5573505080522348
1.0255511248100302,0.3628233820518174,0.49250097953969724,1.1993094601454226,0.8016636786535778,0.5789195473672343
1.0494919295080236,0.37665338147168603,0.5038902718471713,1.1993110524967308,0.8116828318672173,0.6007295813851035
1.0734412602020125,0.390705527775975,0.5152736323984022,1.1993122236055314,0.8211896785720307,0.6227686948783913
1.0973995553929476,0.4049778634270244,0.5266506475239738,1.199313086824023,0.8301790468745078,0.6450248506476077
