curvature,look_fw_curvature,s,n,alpha,v,v_comm,delta,rec_diff
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-1.2566370614359172,0.4,0.2734357436438027,0.5235223259979283,0.5917415706841969
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-1.0066370614359172,0.4,0.2759754695149191,0.523574607320985,0.5917938520072537
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.7566370614359172,0.4,0.3082469118517064,0.5235948101757556,0.5918140548620242
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.5066370614359172,0.4,0.32949029575231625,0.35862659520549545,0.42684583989176406
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.4,0.4,0.32943951367540986,0.32627587437690253,0.39449511906317114
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.30000000000000004,0.4,0.3294882833275812,0.3156916841075546,0.38391092879382316
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.2,0.4,0.3294889283983314,0.2961311811222538,0.3643504258085224
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.09999999999999998,0.4,0.3294874353087724,0.271990588632654,0.3402098333189226
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.0,0.4,0.3294886293642052,0.2551909666978626,0.3234102113841312
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.09999999999999998,0.4,0.3294872370055202,0.2302198390167708,0.2984390837030394
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.20000000000000007,0.4,0.329487551819633,0.2086137410952866,0.2768329857815552
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.30000000000000004,0.4,0.32948682232831145,0.19012542489671524,0.25834466958298385
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.4,0.4,0.32948481605181856,0.16248010301294422,0.2306993476992128
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.65,0.4,0.3294838660913512,0.09752445182658634,0.16574369651285492
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.9,0.4,0.3294822692974492,-0.0070419296184626575,0.061177315067805924
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,1.15,0.4,0.32947813266046005,-0.1820999162030564,-0.11388067151678782
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-1.2566370614359172,0.4,0.27727615992531657,0.5235454675548045,0.5917647122410731
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-1.0066370614359172,0.4,0.28194389821567467,0.523583711897232,0.5918029565835006
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.7566370614359172,0.4,0.32948349144266087,0.3903199690621257,0.45853921374839424
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.5066370614359172,0.4,0.3294774677001572,0.33538745236923967,0.4036066970555082
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.4,0.4,0.329478264166979,0.3139438305845614,0.38216307527082993
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.30000000000000004,0.4,0.32947971914105084,0.29726144183286674,0.36548068651913534
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.2,0.4,0.32948024754261257,0.27620627562041394,0.3444255203066825
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.09999999999999998,0.4,0.3295021471990518,0.25085209138517633,0.3190713360714449
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.0,0.4,0.32948151016217714,0.2290810786078545,0.2973003232941231
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.09999999999999998,0.4,0.3294808287467972,0.20696165002146788,0.27518089470773643
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.20000000000000007,0.4,0.32947804320902424,0.18824830587302208,0.25646755055929066
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.30000000000000004,0.4,0.32947903105697224,0.1646044258146392,0.23282367050090777
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.4,0.4,0.32947796112479727,0.13545384616849815,0.20367309085476673
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.65,0.4,0.32947535835997926,0.06530814648621548,0.13352739117248408
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.9,0.4,0.3294737951174509,-0.04974450547485696,0.01847473921141162
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,1.15,0.4,0.32946078914438875,-0.2387160132114224,-0.17049676852515383
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-1.2566370614359172,0.4,0.2815416032134573,0.5235618121927794,0.591781056879048
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-1.0066370614359172,0.4,0.2934280078680213,0.5235948654346912,0.5918141101209599
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.7566370614359172,0.4,0.32947557250265874,0.37909395775981614,0.44731320244608475
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.5066370614359172,0.4,0.32945942168173953,0.3153547699859256,0.3835740146721942
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.4,0.4,0.32946920765100685,0.2949888760639745,0.3632081207502431
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.30000000000000004,0.4,0.32947293422255597,0.27651674315678443,0.34473598784305304
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.2,0.4,0.32947333646473054,0.25409267364115556,0.3223119183274241
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.09999999999999998,0.4,0.3294694239582859,0.22741738627946237,0.29563663096573095
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.0,0.4,0.32947267589219514,0.20850171476263538,0.27672095944890396
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.09999999999999998,0.4,0.32943514559025766,0.1852419648209868,0.25346120950725537
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.20000000000000007,0.4,0.329470682208673,0.16123983141093925,0.22945907609720784
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.30000000000000004,0.4,0.32946954908099474,0.1321280895882801,0.20034733427454868
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.4,0.4,0.3294650281475273,0.10541542038742412,0.17363466507369268
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.65,0.4,0.32946547820084504,0.029100631934312646,0.09731987662058122
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.9,0.4,0.32946352987009375,-0.10750449417435108,-0.0392852494880825
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,1.15,0.4,0.32942981175766517,-0.2785506796074392,-0.2103314349211706
