s,n,alpha,v,traj_x,traj_y
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.23999977209629766,0.0,0.0
0.004775124166985097,0.00048800146760518033,0.0015164496573488943,0.4319995897594694,0.004773945424113053,0.0004994009712645439
0.01337597081690562,0.0013312039442801584,0.003857321881476662,0.5855994438826944,0.013366861846985404,0.001400096975229913
0.025046229698908573,0.0024068358533917023,0.006267296730917038,0.7084793271795764,0.025014968339093318,0.0026217141006980686
0.03918175863962144,0.0036087645251729793,0.008106897894046701,0.8067832338200494,0.039107230686520555,0.004100048723454508
0.05529884256239578,0.004848058172521951,0.008919000396263263,0.885426359139172,0.055154819747029744,0.005783753111669012
0.0730093359472251,0.006051871100895885,0.008433274815250072,0.9483408594042502,0.07276667046398477,0.007631759283217925
0.09200113090064457,0.007161562535379016,0.006537181207786822,0.9986724596285493,0.09162992787498622,0.009611232050806976
0.11202275270337268,0.008130590574940227,0.0032351060151225197,1.0389377398222648,0.11149430349875318,0.011695937570654524
0.1328711670935184,0.00892248576482135,-0.001391352991254613,1.0711499639933069,0.1321595585134963,0.013864958003956653
0.15438209856604618,0.009509111803407312,-0.007215448822428304,1.0969197433479707,0.15346548080437028,0.016101754479535327
0.17642231968804023,0.009869798692497675,-0.014083958609781712,1.1175355668515004,0.1752837995916944,0.018394055624541182
0.19888350939986968,0.009997591058234487,-0.021774148400297125,1.1340282256762462,0.19751098267546363,0.02074073264810873
0.22167801900457815,0.009997853370930811,-0.029218817559175894,1.1472223527614156,0.2200522727622896,0.023250386117202294
0.24473773991366643,0.009997980437407995,-0.03538514812332594,1.1577776544625835,0.24282505329701556,0.026051856302509446
0.26800962894855324,0.009998011634197326,-0.04046730963771827,1.1662218958643822,0.2657729198300415,0.02914623548548116
0.2914512516741701,0.009998053959121603,-0.0446388254274924,1.1729772890367183,0.2888500341032528,0.03253390823688874
0.31502866156304404,0.009998065883143234,-0.04805256450082955,1.1783816036380321,0.3120190483154769,0.03621455998074308
0.3387147009268388,0.009998072291900998,-0.0508391379050994,1.1827050553980165,0.3352493885430246,0.04018755701010052
0.36248764383569543,0.009998078006846944,-0.0531092744880843,1.186163816903969,0.3585159158197152,0.044451984358079136
0.38633010959001796,0.009998082743845314,-0.05495579921746889,1.1889308262299738,0.38179784191511595,0.0490067502092307
0.4102281936254198,0.009998086527808049,-0.056455889393917665,1.19114443384032,0.4050778618141231,0.05385065494003597
0.43417077228881373,0.009998089567030199,-0.05767333018237512,1.1929153201122769,0.4283414598419603,0.05898243518031888
0.45814894665856043,0.009998092033743303,-0.05866059522854941,1.194332029354238,0.45157635423474657,0.06440079327862328
0.4821555975984044,0.00999809404933601,-0.05946069590540409,1.1954653970198845,0.47477205255845256,0.07010441633840425
0.5061850298003556,0.009998095704419336,-0.06010878675990726,1.1963720914788218,0.49791949593831025,0.07609198762280171
0.5302326870191021,0.009998097070509195,-0.06063353587385803,1.1970974474326688,0.5210107744236631,0.08236219252864532
0.5542949242595875,0.009998098205053268,-0.061058279978824195,1.1976777326495003,0.5440388993176813,0.08891372080870909
0.5783688255271031,0.009998099154194234,-0.061401989040436075,1.1981419613569921,0.5669976211169813,0.09574526628580055
0.6024520580274891,0.009998099954907993,-0.061680066037088026,1.1985133449657872,0.5898812839645333,0.10285552496403094
0.6265427555275996,0.009998100636821074,-0.06190500649159884,1.1988104526524874,0.6126847093293709,0.11024319218678862
0.6506394250440684,0.009998101223692182,-0.062086940063659474,1.1990481398091157,0.6354031030771191,0.11790695929939031
0.6747408721943737,0.009998101734568322,-0.06223407383553239,1.1992382907469386,0.658031981257411,0.12584551013206405
0.698846141476624,0.009998102184681716,-0.06235305420224897,1.199390412769679,0.6805671108650618,0.13405751751408615
0.7229544684905109,0.009998102586176113,-0.06244926171366832,1.199512111356591,0.7030044625777321,0.14254163995363414
0.7470652417096814,0.009998102948713946,-0.06252705090629238,1.1996094703203077,0.7253401730712312,0.1512965185635196
0.7711779718954735,0.00999810327998761,-0.06258994514135938,1.1996873560625847,0.7475705149942455,0.16032077427527405
0.795292267626346,0.009998103586130057,-0.06264079473141625,1.1997496611592329,0.7696918730696773,0.16961300535860363
0.8194078157234864,0.00999810387203317,-0.06268190517017133,1.1997994993045058,0.7917007250970333,0.17917178524605426
0.8435243655949013,0.009998104141586764,-0.06271514105208938,1.19983936112682,0.8135936268734114,0.18899566065059098
0.867641716711479,0.009998104397873556,-0.06274201024774241,1.1998712386584163,0.8353672002432833,0.19908314995520213
0.8917597085849565,0.00999810464334996,-0.06276373205853986,1.1998967252336021,0.8570181236447546,0.20943274184969699
0.9158782127538896,0.009998104880021928,-0.06278129238214367,1.1999170966746386,0.8785431246558536,0.22004289419307854
0.9399971264015029,0.009998105109596752,-0.06279548835284365,1.1999333778813892,0.8999389741604136,0.23091203308867048
0.9641163673120242,0.00999810533357299,-0.06280696445789657,1.199946396344921,0.9212024818349053,0.24203855216350295
0.98823586990267,0.009998105553253204,-0.06281624175289185,1.199956822265247,0.942330492691507,0.2534208120311272
1.0123555820620165,0.009998105769697353,-0.06282374149161254,1.1999651957716486,0.9633198844144657,0.26505713988985474
1.0364754625355126,0.009998105983670198,-0.06282980423591031,1.199971944878556,0.9841675652443109,0.2769458291894112
1.0605954786719134,0.009998106195626655,-0.06283470530857882,1.1999774002245862,1.0048704722364337,0.28908513931380064
1.0847156044659756,0.009998106405758636,-0.06283866728800729,1.1999818115741594,1.0254255698306534,0.30147329527572275
