s,curvature,initial_pathTheta,terminal_pathTheta,x,y
0.5803379609087156,0.6851046779705733,0.0,0.0,0.4486894387028644,0.32597161357207327
0.5903437878209349,0.6664111973475301,0.0,0.0,0.4539345775020061,0.33449247568661483
0.6003496147331541,0.6484066850756937,0.0,0.0,0.4591227830507492,0.34304812267449836
0.6103554416453734,0.6310607772918161,0.0,0.0,0.4642553720859186,0.3516372496378952
0.6203612685575925,0.6143444664671608,0.0,0.0,0.4693336249683915,0.36025861379091334
0.6303670954698118,0.598230060042597,0.0,0.0,0.47435878650593916,0.36891103100917344
0.640372922382031,0.582691136254167,0.0,0.0,0.4793320668065606,0.3775933725855421
0.6503787492942502,0.5677024980953832,0.0,0.0,0.4842546421533002,0.386304562180136
0.6603845762064695,0.5532401261747862,0.0,0.0,0.4891276558928533,0.39504357295318226
0.6703904031186887,0.5392811311057686,0.0,0.0,0.4939522193314158,0.4038094248698288
0.680396230030908,0.5258037059392977,0.0,0.0,0.49872941263223863,0.4126011821665167
0.6904020569431272,0.5127870790465066,0.0,0.0,0.5034602857102166,0.42141795096905166
0.7004078838553465,0.5002114677726237,0.0,0.0,0.5081458591196082,0.4302588770530371
0.7104137107675657,0.48805803310854184,0.0,0.0,0.5127871249316368,0.4391231437378444
0.720419537679785,0.476308835584515,0.0,0.0,0.5173850475993006,0.44800996990580083
0.7304253645920041,0.46494679251854615,0.0,0.0,0.5219405648072094,0.4569186081387597
0.7404311915042234,0.45395563672459294,0.0,0.0,0.5264545883046972,0.46584834296468924
0.7504370184164426,0.44331987674792894,0.0,0.0,0.5309280047208239,0.47479848920736134
0.7604428453286618,0.4330247586679753,0.0,0.0,0.5353616763601999,0.48376839043265263
0.7704486722408811,0.42305622949877025,0.0,0.0,0.5397564419788342,0.4927574174853743
0.7804544991531003,0.41340090215959097,0.0,0.0,0.5441131175394407,0.5017649671109331
0.7904603260653196,0.4040460220236383,0.0,0.0,0.5484324969458363,0.5107904606564905
0.8004661529775388,0.394979435029594,0.0,0.0,0.5527153527562272,0.5198333428466271
0.810471979889758,0.3861895572856181,0.0,0.0,0.556962436875327,0.528893080628847
0.8204778068019772,0.3776653461515145,0.0,0.0,0.5611744812253637,0.5379691620845531
0.8304836337141965,0.3693962727529319,0.0,0.0,0.5653521983961382,0.5470610954014176
0.8404894606264157,0.3613722958670772,0.0,0.0,0.569496282274372,0.5561684079033279
0.850495287538635,0.35358383712866626,0.0,0.0,0.5736074086526586,0.5652906451343501
0.8605011144508542,0.3460217575092633,0.0,0.0,0.5776862358183782,0.5744273699933725
0.8705069413630734,0.33867733501708913,0.0,0.0,0.5817334051229904,0.5835781619163207
0.8805127682752927,0.33154224354946116,0.0,0.0,0.5857495415321441,0.5927426161030338
0.8905185951875119,0.32460853286115715,0.0,0.0,0.5897352541570793,0.6019203427860813
0.9005244220997312,0.3178686095825042,0.0,0.0,0.5936911367678102,0.6111109665389834
0.9105302490119503,0.31131521924649785,0.0,0.0,0.5976177682885954,0.6203141256214543
0.9205360759241696,0.3049414292713325,0.0,0.0,0.6015157132762099,0.6295294713594515
0.9305419028363888,0.2987406128356954,0.0,0.0,0.6053855223815371,0.6387566675579517
0.9405477297486081,0.2927064336254343,0.0,0.0,0.6092277327950031,0.6479953899445128
0.9505535566608273,0.2868328313931824,0.0,0.0,0.613042868676371,0.6572453256418022
0.9605593835730466,0.28111400828000055,0.0,0.0,0.6168314415694115,0.6665061726673939
0.9705652104852658,0.2755444158738723,0.0,0.0,0.6205939508019563,0.67577763945924
0.980571037397485,0.2701187429576236,0.0,0.0,0.6243308838718374,0.6850594444253292
0.9905768643097043,0.2648319039032782,0.0,0.0,0.6280427168192012,0.6943513155161352
