s,n,alpha,v,v_comm,delta
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.04999999575562385,0.059039994988240634,-8.986809991572292e-21
0.00041356100773478737,5.077769704964078e-05,0.0001994410725297326,0.0958333252004115,0.1041199911640291,0.2443403320397739
0.0012062201624693733,0.0001482608576998476,0.0005817120866360018,0.1378472105232016,0.14544332098956203,0.24434324524096973
0.0023463875124357944,0.00028891753011231155,0.0011315760011745115,0.17635993873375705,0.18332303999422547,0.2443441190456431
0.003805106259117151,0.00046967416282664876,0.0018350654651552553,0.2116632729242796,0.21804611574592608,0.24434452566762035
0.005555833184518151,0.0006878458369336001,0.0026793769185187184,0.24402466259648575,0.2498756018492206,0.24434475912553022
0.007574237411425724,0.0009410777918937262,0.003652773578708007,0.2736892697936409,0.2790526307748865,0.24434490785363036
0.009838015960091977,0.001227296394705233,0.004744496561735015,0.3008818263886581,0.3057982406210372,0.24434500750599555
0.01232672469547006,0.0015446680000257408,0.005944683420121689,0.32580833659834146,0.33031504964425223,0.2443450757651009
0.015021623376906731,0.001891564410193878,0.007244293507135163,0.34865763762170465,0.35278879124672874,0.24434512650393803
0.017905533634292908,0.00226653382848612,0.008635039406962516,0.36960283022403245,0.37338972104653334,0.24434515935538398
0.020962708788473918,0.0026682764188405697,0.010109324064918185,0.38880259010607326,0.39227390669274625,0.24434516456974847
0.024178714510336128,0.003095623838678371,0.011660184139399942,0.40640236999728346,0.40958441020161424,0.24434520210877822
0.02754031946585251,0.0035475217090453265,0.013281235855539593,0.42253550156237496,0.42545237174934347,0.2443452172762423
0.031035395043895086,0.004023015043809974,0.014966627459755254,0.437324205494798,0.4399980031657801,0.24434522141971504
0.03465282345534277,0.0045212358250084185,0.016710994851853636,0.45088051743067226,0.45333149862867833,0.24434522070176848
0.038382413493251916,0.005041392455377491,0.01850942088028687,0.4633071367030625,0.46555386946751065,0.2443452153062489
0.04221482331343856,0.005582760793510401,0.02035739809698333,0.47469820436724636,0.4767577094009308,0.24434520524369324
0.04614148965109187,0.0061446765068518955,0.022250794619888225,0.4851400163905628,0.48702789600437846,0.24434519067815444
0.05015456293696175,0.006726528527495771,0.024185822834918443,0.49471167740973926,0.49644223372200635,0.24434517159663566
0.05424684782120391,0.00732775343304096,0.02615901070528798,0.5034857000084435,0.5050720432942892,0.2443451478170181
0.05841174865371807,0.007947830606276211,0.028167175490949485,0.5115285540551284,0.5129827020667691,0.24434512017760415
0.06264321951097072,0.008586278028653808,0.030207399507526066,0.5189011702621645,0.5202341392723967,0.24434508157160376
0.0669357183943295,0.009242648581133406,0.03227700755974921,0.5256594017810217,0.526881290039631,0.24434499824943187
0.07128416520262744,0.009916527089706407,0.03437354851771874,0.5318544473372472,0.5329745115738127,0.24434494253145198
0.07568390325285225,0.010607527444005694,0.03649477593954569,0.5375332390964812,0.5385599646465508,0.2443449375382089
0.08013066402740532,0.011315289936218937,0.03863862936461749,0.5427387982074472,0.5436799632947098,0.2443449117508693
0.08462053480770063,0.012039479224940733,0.04080321987350259,0.5475105607237968,0.5483732953867527,0.2443448608382612
0.08914992901679838,0.01277978244952903,0.0429868161857632,0.5518846763617045,0.5526755164690381,0.24434480241366627
0.09371555904733046,0.01353590746055439,0.045187831213792495,0.5558942823609963,0.5566192191256683,0.2443447352433161
0.09831441134809739,0.014307581265045716,0.0474048100375125,0.5595697545248456,0.5602342798920695,0.24434465773714686
0.10294372358690944,0.015094548622919517,0.049636418878240024,0.5629389373394942,0.5635480855923827,0.24434456783156153
0.10760096371683735,0.015896570773173177,0.05188143497970758,0.5660273549173188,0.5665857408153895,0.2443444624198725
0.1122838107890724,0.016713424262687574,0.054138737237961906,0.5688584043611967,0.5693702581006498,0.2443443324802393
0.11699013736095278,0.01754489989778095,0.05640729779449882,0.571453533015502,0.5719227322762004,0.24434417329797692
0.12171799337257772,0.01839080176817196,0.058686174209602024,0.573832400945969,0.5742625002677975,0.24434397769202604
0.1264655913659202,0.019250946355425187,0.060974502343151146,0.5760130298795431,0.5764072875907332,0.24434373914375238
0.13123129289715368,0.020125161916232013,0.06327149151240521,0.5780119397328041,0.5783733426342736,0.24434353905683032
0.13601359617699224,0.02101328739431801,0.06557641577920247,0.5798442737625019,0.5801755597550713,0.24434331692864678
0.14081112467182066,0.021915171791072163,0.06788860913289875,0.5815239132872888,0.5818275921133703,0.24434304794609757
0.14562261666426693,0.02283067352709799,0.07020746062551994,0.5830635828492632,0.5833419551060681,0.24434271630489007
0.15044691569112928,0.02375965980913811,0.07253240959450356,0.5844749466120157,0.5847301211803213,0.24434229802436785
0.15528296178206544,0.024702006021530203,0.07486294113938549,0.585768696725502,0.5860026067460203,0.2443417543548838
0.16012978344691914,0.025657595068976944,0.07719858125331701,0.5869546343270776,0.5871690518454425,0.24434099636165468
0.16498649034254875,0.02662631671327976,0.07953889197955524,0.5880417437926484,0.5882382931840237,0.24433987026541992
0.1698522665980674,0.0276080667363825,0.08188346522254845,0.58903826080022,0.589218431075189,0.24433807466892254
0.17472636490055393,0.028602745209914442,0.0842319093543712,0.5899517347213176,0.590116890806252,0.2443347830399666
0.17960810263352,0.029610247621424862,0.08658377751002692,0.5907890858131732,0.5909404788905808,0.24432568653096262
0.18449697727045483,0.030629903818550172,0.08893395723977036,0.5915566576449093,0.5916954346320872,0.2440738457162908
0.18939440158794768,0.03165244934748049,0.0912067858574908,0.5922602651547644,0.5923874773925462,0.24002233407022763
0.19430136066526482,0.03267080062117329,0.09334741829515557,0.5929052387028059,0.5930218499202917,0.2332357193019174
0.19921742733085057,0.03368454783035564,0.09535805020716727,0.5934964644525135,0.5936033580680606,0.22659132607470217
0.20414214708741588,0.03469359609667741,0.09724337899099458,0.5940384213870811,0.5941364072008509,0.2202112082683711
0.2090751209859972,0.03569776636788157,0.099007219325371,0.5945352152410784,0.5946250355698812,0.21404745986831764
0.2140160938224398,0.036696356430318815,0.10064892383530936,0.5949906096043858,0.5950729449052717,0.20787351503628596
0.21896474695849646,0.03768910231605254,0.10217146961683819,0.5954080544345147,0.595483528459802,0.2018687462134842
0.22392074870164141,0.03867593791274702,0.10357933593801438,0.5957907121925585,0.5958598967152129,0.1961058901973376
0.22888378699617634,0.039656831439186656,0.10487709807591143,0.5961414818011906,0.5962049009464313,0.190587423431098
0.23385357293897174,0.040631758478015624,0.10606920069163676,0.5964630206061982,0.5965211548221435,0.1853047545885725
0.2388298390835969,0.041600700405633156,0.10715994941832387,0.5967577645078843,0.5968110542053092,0.18024912578520072
0.2438123377306413,0.04256364367400011,0.10815351001857722,0.5970279464148602,0.5970767953036414,0.17541196113211535
0.24880083934877545,0.043520579195497,0.10905390861232028,0.597275613160019,0.5973203913075437,0.17078489336732283
0.25379513117535835,0.04447150152497202,0.10986503038511868,0.5975026410068455,0.5975436876415517,0.16635966453900874
0.25879501641402014,0.04541640565595849,0.11059059886673302,0.5977107498635332,0.5977483759448223,0.1621271384044362
0.26380031855389163,0.04635525821149572,0.1112339457142715,0.597901516312585,0.5979360068865736,0.15806686288467053
0.2688109244253632,0.04728776929400038,0.11179615192735115,0.5980763855545698,0.5981080019135206,0.15406609514133945
0.27382679031092255,0.048213344396305695,0.11227574455551079,0.5982366823566071,0.5982656640184154,0.14999730067455333
0.27884779734681875,0.04913181790495868,0.11267482635938414,0.5983836210886532,0.5984101876114071,0.1460378083892781
0.28387380108934246,0.050043206911847334,0.11299690899548716,0.598518314923208,0.5985426675684954,0.14225706024236756
0.28890466433565454,0.050947541283742306,0.11324546060837283,0.5986417842683983,0.5986641075260087,0.13865232258190716
0.2939402583580583,0.05184485340462412,0.1134238235582442,0.5987549644983406,0.5987754274839142,0.135216841194787
0.2989804623300624,0.052735177437459826,0.11353521367103664,0.5988587130393077,0.5988774707755146,0.13194388676303387
0.3040251627317794,0.053618548987661906,0.11358272283820393,0.5989538158653828,0.5989710104563372,0.12882691378123604
0.3090742528013918,0.05449500480156252,0.11356932181386908,0.5990409934528086,0.5990567551606152,0.1258595636723545
0.3141276320857065,0.05536458218513641,0.1134978606146381,0.5991209062381402,0.5991353544697281,0.12303553995215044
0.3191852065516686,0.05622731554251259,0.11337104529931516,0.5991941596215518,0.5992074038332725,0.12034743132674058
0.32424689440413323,0.05708320109294716,0.11319115491477197,0.5992613085531945,0.5992734490800354,0.11777381879831016
0.32931267320858654,0.057931927252676235,0.11295785013314451,0.5993228617373105,0.5993339905529987,0.11518462741529649
0.3343825819449373,0.05877284550929354,0.1126680426626998,0.5993792854860538,0.5993894868998266,0.11244340491824294
0.33945657260332956,0.059605801647496084,0.11232281574597444,0.5994310072523334,0.5994403585476767,0.10975699320470463
0.3445345642118794,0.06043084668607772,0.11192488646142679,0.5994784188680237,0.5994869908881405,0.10720627515390793
