curvature,look_fw_curvature,n,alpha,delta,rec_diff
-0.6520079664863423,-0.6271822949893765,-0.125,0.65,-0.2695277794281271,-0.19494589973023
-1.0411201351664563,-0.3145205627266815,-0.2,0.3,-0.1470742655566047,-0.0218825437896587
-0.6226787264768596,-0.6400964183194529,-0.2,-1.0066370614359172,0.4896509811356808,0.5606896906539087
0.650275895795265,-0.4274884594957489,-0.125,-0.5066370614359172,0.3229919307101205,0.2486200945297114
-0.9003435210523172,-0.9871311510648796,0.03,-0.5066370614359172,0.1803626662365723,0.2863203413819148
1.943619395276711,1.9724309963031323,-0.0199999999999999,0.9,-0.2409763275151308,-0.5680377427873348
-1.1820107702777445,-1.214279610604836,-0.125,0.65,-0.2995449000003916,-0.1536238170183694
-1.0411201351664563,-0.3145205627266815,0.08,0.3,-0.2581795388641089,-0.1329878170971629
0.5991746255536656,0.5935426134685385,-0.1,0.0,0.0622053857156585,-0.00601385897061
-1.5118983591307604,-1.7707823796450544,-0.15,0.0999999999999999,-0.0879443677128161,0.1156303137682732
-1.2678765884944252,-1.253863229850387,0.08,0.3,-0.2442081348398706,-0.0847211510180684
-0.8138949130408517,-0.7539977347252713,0.08,0.3,-0.2150183388906277,-0.1202993006784276
0.650275895795265,-0.4274884594957489,-0.2,-1.0066370614359172,0.4690056139631155,0.3946337777827063
1.3574858511770282,1.2469946940893897,-0.125,0.9,-0.2541312771191013,-0.4287217773730526
1.252456565251903,1.4439015524961207,-0.15,0.2,0.0066744535866827,-0.1503160696184435
-0.6226787264768596,-0.6400964183194529,-0.125,0.65,-0.2676087618242661,-0.1965700523060381
-2.0114696519226394,-1.9866466506413103,0.08,-1.0066370614359172,0.2534454392419759,0.613804541822224
1.1873791496553268,1.2219028763334885,0.0,0.4,-0.1415648402373525,-0.2883112088700464
0.8776850403991263,0.961279826665964,-0.03,-1.2566370614359172,0.4755630039727436,0.3725887462409472
-0.7086612881870569,-0.7516264442997069,0.155,-0.5066370614359172,0.1561728452800542,0.2376835410717925
-1.80260401545591,-1.543506218409735,0.105,1.15,-0.4982687448650769,-0.2228098890724608
-1.1192353053940052,-1.0031817779629555,-0.075,0.3,-0.1951593688804139,-0.0586854086894641
-1.1820107702777445,-1.214279610604836,-0.0099999999999999,-0.0999999999999999,0.0240736800795526,0.1699947630615747
1.7417645215514366,1.8882469824154675,0.08,-0.7566370614359172,0.3868544487238179,0.1292239777645382
0.8776850403991263,0.961279826665964,0.02,-1.2566370614359172,0.4734341712566297,0.3704599135248332
-1.5118983591307604,-1.7707823796450544,0.0,0.3,-0.2463686802599086,-0.0427939987788192
-1.0411201351664563,-0.3145205627266815,-0.175,-0.3,0.1452651642678716,0.2704568860348175
-1.1192353053940052,-1.0031817779629555,0.155,-0.5066370614359172,0.1418924706229598,0.2783664308139096
1.135788145974598,1.0299832957043902,-0.075,-0.7566370614359172,0.3527808910846171,0.2138509640195814
0.5991746255536656,0.5935426134685385,0.0,0.4,-0.1936127291111354,-0.261831973797404
-2.0114696519226394,-1.9866466506413103,-0.075,-1.0066370614359172,0.2592015264329888,0.6195606290132369
-1.5118983591307604,-1.7707823796450544,0.03,0.65,-0.3541723144996784,-0.150597633018589
1.3574858511770282,1.2469946940893897,-0.075,-0.7566370614359172,0.3662371465392475,0.1916466462852961
-0.7165699190734524,0.0008103060366023,0.155,-0.4,0.0796102464934984,0.1620976548556288
1.252456565251903,1.4439015524961207,0.03,-0.4,0.251575294982945,0.0945847717778188
1.873919430558042,0.9040391409647658,-0.075,-0.7566370614359172,0.4278294680846964,0.1284849796649413
-1.1820107702777445,-1.214279610604836,0.01,1.15,-0.4728705044992347,-0.3269494215172126
1.4297952792035464,2.024095652932377,-0.125,-0.5066370614359172,0.3242744274628807,0.1366421236681427
