curvature,look_fw_curvature,s,n,alpha,v,v_comm,delta,rec_diff
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-1.2566370614359172,0.4,0.27047999906540265,0.39622765483778005,0.4521081790250657
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-1.0066370614359172,0.4,0.2704799990821912,0.41864534064471737,0.47452586483200304
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.7566370614359172,0.4,0.27047999912520326,0.43079596233359935,0.486676486520885
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.5066370614359172,0.4,0.3295200001532757,0.4321452576626751,0.48802578184996076
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.4,0.4,0.3295200001482464,0.41734296936746235,0.473223493554748
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.30000000000000004,0.4,0.32952000012478105,0.40390617719779276,0.45978670138507843
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.2,0.4,0.32952000008723015,0.39084644149793496,0.44672696568522063
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,-0.09999999999999998,0.4,0.32952000005735,0.3690065117164592,0.4248870359037449
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.0,0.4,0.3295199999999728,0.34976718049814187,0.40564770468542755
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.09999999999999998,0.4,0.3295199999622762,0.33505552656900756,0.39093605075629323
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.20000000000000007,0.4,0.32951999988765557,0.31144044318662595,0.3673209673739116
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.30000000000000004,0.4,0.3295199998401398,0.2918623937552534,0.3477429179425391
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.4,0.4,0.32951999977506635,0.2703411749047132,0.3262216990919989
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.65,0.4,0.3295199995919291,0.2032347819385376,0.2591153061258233
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,0.9,0.4,0.32951999952844907,0.08819968719704117,0.14408021138432686
-0.5991746255536656,-0.6017357879142573,0.0,-0.2,1.15,0.4,0.3295199997370132,-0.2969568863967344,-0.24107636220944872
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-1.2566370614359172,0.4,0.2704799990713295,0.38650469750489097,0.44238522169217664
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-1.0066370614359172,0.4,0.2704799990910876,0.40873398433137087,0.46461450851865654
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.7566370614359172,0.4,0.2704799991410831,0.42054872192673637,0.47642924611402204
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.5066370614359172,0.4,0.32951999976486573,0.42021489873363566,0.47609542292092133
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.4,0.4,0.3295199997290227,0.4068275525844307,0.4627080767717164
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.30000000000000004,0.4,0.32951999969986767,0.39127946842237893,0.4471599926096646
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.2,0.4,0.3295199996213808,0.371668718804855,0.4275492429921407
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,-0.09999999999999998,0.4,0.32951999955280203,0.3485334919028916,0.4044140160901773
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.0,0.4,0.329519999461329,0.32875112253998,0.3846316467272657
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.09999999999999998,0.4,0.32951999934365417,0.30885879615566914,0.3647393203429548
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.20000000000000007,0.4,0.32951999919619335,0.2914216896342522,0.34730221382153786
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.30000000000000004,0.4,0.3295199990561187,0.2673189587309589,0.3231994829182446
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.4,0.4,0.32951999880882477,0.24249337686347003,0.29837390105075573
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.65,0.4,0.3295199981501307,0.16817293184629664,0.22405345603358234
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,0.9,0.4,0.32951999849291363,0.0344038992425371,0.09028442342982279
-0.5991746255536656,-0.6017357879142573,0.0,-0.17500000000000002,1.15,0.4,0.32951999851007135,-0.3723867194478204,-0.31650619526053475
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-1.2566370614359172,0.4,0.270479999079591,0.37560830627924013,0.4314888304665258
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-1.0066370614359172,0.4,0.2704799991027589,0.3975011946528937,0.45338171884017936
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.7566370614359172,0.4,0.27047999915536725,0.40887656726506827,0.46475709145235394
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.5066370614359172,0.4,0.32951999894608663,0.40714234351522866,0.46302286770251433
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.4,0.4,0.32951999886394795,0.388557457373917,0.4444379815612027
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.30000000000000004,0.4,0.32951999872493176,0.36770422342211934,0.423584747609405
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.2,0.4,0.3295199986002819,0.35046519067155785,0.4063457148588435
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,-0.09999999999999998,0.4,0.32951999835113394,0.32893547881022617,0.38481600299751184
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.0,0.4,0.3295199980856745,0.3044972617494327,0.3603777859367184
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.09999999999999998,0.4,0.329519997547009,0.2824991418215293,0.33837966600881497
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.20000000000000007,0.4,0.32951999711798496,0.2614920510590963,0.31737257524638196
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.30000000000000004,0.4,0.3295199963012546,0.2375246242550301,0.2934051484423158
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.4,0.4,0.329519995460795,0.21225915497794945,0.2681396791652351
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.65,0.4,0.32951999077655647,0.12770661186327062,0.18358713605055632
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,0.9,0.4,0.32951999497560225,-0.04078548247764281,0.015095041709642876
-0.5991746255536656,-0.6017357879142573,0.0,-0.15000000000000002,1.15,0.4,0.3225007588521323,-0.28059744302098794,-0.22471691883370226
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-1.2566370614359172,0.4,0.27047999909138337,0.36319440105885964,0.4190749252461453
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-1.0066370614359172,0.4,0.2704799991187405,0.3845352137055867,0.44041573789287236
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-0.7566370614359172,0.4,0.27047999919084614,0.39534841603445503,0.4512289402217407
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-0.5066370614359172,0.4,0.3295199959179301,0.393357506164912,0.44923803035219767
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-0.4,0.4,0.3295199957851838,0.3676307601857583,0.423511284373044
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-0.30000000000000004,0.4,0.3295199952877356,0.3444256484620814,0.4003061726493671
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-0.2,0.4,0.3295199943528863,0.3213556462390181,0.37723617042630375
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,-0.09999999999999998,0.4,0.32951999273032073,0.30231325638275186,0.35819378057003753
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,0.0,0.4,0.32951998935434446,0.27947044443079844,0.3353509686180841
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,0.09999999999999998,0.4,0.32951998179434466,0.2565383078147039,0.31241883200198955
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,0.20000000000000007,0.4,0.3295199708914519,0.22889610597629792,0.2847766301635836
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,0.30000000000000004,0.4,0.3286637063186335,0.2081383207369819,0.2640188449242676
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,0.4,0.4,0.3277519592271902,0.18230461636872,0.2381851405560057
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,0.65,0.4,0.32651108741356133,0.08885877144466126,0.14473929563194693
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,0.9,0.4,0.328448137451988,-0.17143233549964274,-0.11555181131235705
-0.5991746255536656,-0.6017357879142573,0.0,-0.125,1.15,0.4,0.3129136222573135,-0.24217456022555256,-0.18629403603826689
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-1.2566370614359172,0.4,0.27047999910666737,0.34834432593556414,0.4042248501228498
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-1.0066370614359172,0.4,0.2704799991395519,0.3691395126557979,0.4250200368430836
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-0.7566370614359172,0.4,0.27047999922541044,0.37919343610202827,0.43507396028931394
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-0.5066370614359172,0.4,0.32886326846481656,0.36966740594452485,0.4255479301318105
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-0.4,0.4,0.32872896802909657,0.3422830424761334,0.39816356666341907
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-0.30000000000000004,0.4,0.3283396702023966,0.32102264207475656,0.37690316626204223
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-0.2,0.4,0.3277012848830031,0.2916439940488021,0.34752451823608776
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,-0.09999999999999998,0.4,0.32692512841529964,0.267225614179117,0.3231061383664027
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,0.0,0.4,0.3256959934420704,0.24376359382559562,0.2996441180128813
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,0.09999999999999998,0.4,0.3245839391870464,0.22413727342301032,0.280017797610296
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,0.20000000000000007,0.4,0.3233286481725738,0.19606095937336698,0.25194148356065266
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,0.30000000000000004,0.4,0.3224006162871526,0.17010122084412244,0.2259817450314081
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,0.4,0.4,0.32163185274030104,0.14057162243983998,0.19645214662712568
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,0.65,0.4,0.3213356447323734,0.0337883139374554,0.08966883812474108
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,0.9,0.4,0.3208123487263778,-0.3148108722651169,-0.2589303480778312
-0.5991746255536656,-0.6017357879142573,0.0,-0.1,1.15,0.4,0.3034435590644342,-0.22456537953504463,-0.16868485534775896
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-1.2566370614359172,0.4,0.2704799991311928,0.3304373138250153,0.38631783801230096
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-1.0066370614359172,0.4,0.2704799991788063,0.35040161079153076,0.40628213497881643
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-0.7566370614359172,0.4,0.27047999929677274,0.3608868664061902,0.4167673905934759
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-0.5066370614359172,0.4,0.32355333552317667,0.34247286960421996,0.39835339379150564
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-0.4,0.4,0.3233453628993772,0.31634329111051657,0.37222381529780224
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-0.30000000000000004,0.4,0.3228083630033744,0.28446698289380395,0.34034750708108963
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-0.2,0.4,0.3217565857642474,0.25808117143452236,0.31396169562180803
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,-0.09999999999999998,0.4,0.3207458819237496,0.23600663344631065,0.29188715763359635
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,0.0,0.4,0.31966739655198295,0.20625807326694506,0.26213859745423074
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,0.09999999999999998,0.4,0.31872800802984025,0.1802047940515882,0.2360853182388739
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,0.20000000000000007,0.4,0.3179227285682397,0.15309402561822688,0.20897454980551255
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,0.30000000000000004,0.4,0.31727749906922553,0.12354764658068487,0.17942817076797057
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,0.4,0.4,0.31682345555238733,0.08866705419420283,0.14454757838148852
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,0.65,0.4,0.3170690761426277,-0.05389037589500619,0.0019901482922794964
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,0.9,0.4,0.3141095562004475,-0.3630903188274368,-0.30720979464015113
-0.5991746255536656,-0.6017357879142573,0.0,-0.07500000000000001,1.15,0.4,0.29406719851934426,-0.2144090602357149,-0.1585285360484292
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-1.2566370614359172,0.4,0.2704799991752069,0.30781796655288474,0.3636984907401704
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-1.0066370614359172,0.4,0.27047999924607646,0.3265316543681617,0.38241217855544735
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-0.7566370614359172,0.4,0.270479999465112,0.33976475516067955,0.39564527934796523
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-0.5066370614359172,0.4,0.318478763757163,0.3139929163451892,0.3698734405324749
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-0.4,0.4,0.3178450177341812,0.28094652318969177,0.33682704737697744
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-0.30000000000000004,0.4,0.31715121216678166,0.24964410432897854,0.3055246285162642
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-0.2,0.4,0.31639584711195073,0.21432250680845039,0.27020303099573606
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,-0.09999999999999998,0.4,0.3156949897821502,0.18443168625121367,0.24031221043849937
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,0.0,0.4,0.31506513360722943,0.15501587697373193,0.2108964011610176
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,0.09999999999999998,0.4,0.31452887987503964,0.12527597127461584,0.18115649546190155
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,0.20000000000000007,0.4,0.31410419217416524,0.09389505225930106,0.14977557644658673
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,0.30000000000000004,0.4,0.3138045836982769,0.0632929376398594,0.11917346182714508
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,0.4,0.4,0.3136546394506889,0.021371747766108846,0.07725227195339454
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,0.65,0.4,0.3134399814097826,-0.18008077686188825,-0.12420025267460257
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,0.9,0.4,0.2880669429862268,-0.30257504946166563,-0.24669452527437996
-0.5991746255536656,-0.6017357879142573,0.0,-0.04999999999999999,1.15,0.4,0.2847486411678576,-0.20449982517798612,-0.14861930099070042
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-1.2566370614359172,0.4,0.27047999924033955,0.28361367355454353,0.3394941977418292
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-1.0066370614359172,0.4,0.2704799993563631,0.30357408095494176,0.35945460514222743
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-0.7566370614359172,0.4,0.31447795328192346,0.36359802042391676,0.41947854461120243
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-0.5066370614359172,0.4,0.31453574226071346,0.28257223587816294,0.3384527600654486
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-0.4,0.4,0.31423365111042634,0.2380267520191178,0.2939072762064035
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-0.30000000000000004,0.4,0.3138485093656686,0.2016348685667288,0.25751539275401447
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-0.2,0.4,0.31346296572760207,0.16664959775530694,0.22253012194259264
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,-0.09999999999999998,0.4,0.31311564590656493,0.13306465890592833,0.188945183093214
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,0.0,0.4,0.31282399330862487,0.10015971235327324,0.15604023654055893
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,0.09999999999999998,0.4,0.3125971197363922,0.0710149898692769,0.12689551405656257
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,0.20000000000000007,0.4,0.31242906850844626,0.030629368528539716,0.0865098927158254
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,0.30000000000000004,0.4,0.31230957535499715,-0.005368392470785971,0.050512131716499716
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,0.4,0.4,0.31221578811541395,-0.056626601232194505,-0.0007460770449088175
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,0.65,0.4,0.3109658532957377,-0.2684534978834734,-0.21257297369618772
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,0.9,0.4,0.28005021196663604,-0.2594961478602261,-0.20361562367294045
-0.5991746255536656,-0.6017357879142573,0.0,-0.03,1.15,0.4,0.2770448540215629,-0.18994766634488303,-0.13406714215759735
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-1.2566370614359172,0.4,0.27047999929845246,0.2696208911917754,0.3255014153790611
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-1.0066370614359172,0.4,0.2704799994612683,0.2890575015345437,0.34493802572182936
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-0.7566370614359172,0.4,0.31278820404722085,0.35198081458292235,0.407861338770208
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-0.5066370614359172,0.4,0.31312781695188546,0.2570862362966534,0.31296676048393907
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-0.4,0.4,0.31296979584906526,0.21385730389223415,0.26973782807951985
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-0.30000000000000004,0.4,0.3127616649116118,0.1745855903322571,0.2304661145195428
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-0.2,0.4,0.3125461638381067,0.1423050074474056,0.19818553163469127
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,-0.09999999999999998,0.4,0.3123610301456995,0.1020345911880133,0.15791511537529898
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,0.0,0.4,0.3122071593716797,0.06744826507123537,0.12332878925852106
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,0.09999999999999998,0.4,0.3120868766589277,0.03662141895044708,0.09250194313773277
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,0.20000000000000007,0.4,0.3119935970832549,-0.0012733339244107686,0.054607190262874916
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,0.30000000000000004,0.4,0.3119070874002637,-0.04520563173735811,0.01067489244992758
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,0.4,0.4,0.3117807832827239,-0.100502245366573,-0.04462172117928731
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,0.65,0.4,0.31028855614978307,-0.2998940527681032,-0.24401352858081754
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,0.9,0.4,0.2755183083646972,-0.24101245586625547,-0.1851319316789698
-0.5991746255536656,-0.6017357879142573,0.0,-0.019999999999999997,1.15,0.4,0.27048001805170496,-0.1863295419191598,-0.13044901773187412
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-1.2566370614359172,0.4,0.27047999939505074,0.2546675736650807,0.31054809785236637
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-1.0066370614359172,0.4,0.27047999964896297,0.2730555879433256,0.32893611213061125
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-0.7566370614359172,0.4,0.3112934019962043,0.3422181332923698,0.39809865747965545
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-0.5066370614359172,0.4,0.3120981220387876,0.23291563984852945,0.28879616403581515
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-0.4,0.4,0.3120877639128397,0.19148142215690248,0.24736194634418818
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-0.30000000000000004,0.4,0.312053479535799,0.14890890539334362,0.2047894295806293
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-0.2,0.4,0.3119929910399915,0.109316770024078,0.1651972942113637
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,-0.09999999999999998,0.4,0.311935276126593,0.06758060335022399,0.12346112753750968
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,0.0,0.4,0.3118785514173717,0.03164656033085774,0.08752708451814342
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,0.09999999999999998,0.4,0.3118298228941214,-0.0005504181613296109,0.055330106025956075
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,0.20000000000000007,0.4,0.31178071765064075,-0.04034266941300975,0.015537854774275939
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,0.30000000000000004,0.4,0.31170777368844804,-0.08663548876181054,-0.030754964574524854
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,0.4,0.4,0.3115627934528274,-0.14394878889405557,-0.08806826470676989
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,0.65,0.4,0.31016127961191176,-0.32464133543003165,-0.268760811242746
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,0.9,0.4,0.2704800056674438,-0.23888627038998522,-0.18300574620269955
-0.5991746255536656,-0.6017357879142573,0.0,-0.009999999999999998,1.15,0.4,0.27048000038152553,-0.21700925723789674,-0.16112873305061104
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-1.2566370614359172,0.4,0.2704799995744729,0.23439367463954258,0.29027419882682826
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-1.0066370614359172,0.4,0.27048000008494916,0.2543709545474854,0.31025147873477105
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-0.7566370614359172,0.4,0.31038234739298776,0.3227409631560302,0.37862148734331585
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-0.5066370614359172,0.4,0.31151233179161314,0.20409911286755789,0.25997963705484356
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-0.4,0.4,0.31164556550588907,0.158740636994862,0.2146211611821477
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-0.30000000000000004,0.4,0.3117451003002846,0.10826254137973118,0.16414306556701685
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-0.2,0.4,0.31177295604996086,0.06807005172983091,0.1239505759171166
-0.5991746255536656,-0.6017357879142573,0.0,0.0,-0.09999999999999998,0.4,0.3117807410274685,0.035131681777338115,0.09101220596462381
-0.5991746255536656,-0.6017357879142573,0.0,0.0,0.0,0.4,0.3117883284210373,-0.006084406362952286,0.0497961178243334
-0.5991746255536656,-0.6017357879142573,0.0,0.0,0.09999999999999998,0.4,0.31179171340888717,-0.03904125539500174,0.01683926879228395
-0.5991746255536656,-0.6017357879142573,0.0,0.0,0.20000000000000007,0.4,0.3117851044630752,-0.07987591674465315,-0.023995392557367462
-0.5991746255536656,-0.6017357879142573,0.0,0.0,0.30000000000000004,0.4,0.31173097956242796,-0.13433494610430036,-0.07845442191701467
-0.5991746255536656,-0.6017357879142573,0.0,0.0,0.4,0.4,0.31165397464491174,-0.18395975478564155,-0.12807923059835585
-0.5991746255536656,-0.6017357879142573,0.0,0.0,0.65,0.4,0.31066623925121944,-0.34409532537327175,-0.2882148011859861
-0.5991746255536656,-0.6017357879142573,0.0,0.0,0.9,0.4,0.2704800005546373,-0.25837650574908166,-0.202495981561796
-0.5991746255536656,-0.6017357879142573,0.0,0.0,1.15,0.4,0.27047999968344705,-0.24122910797567856,-0.18534858378839286
-0.5991746255536656,-0.6017357879142573,0.0,0.010000000000000002,-1.2566370614359172,0.4,0.27048000005834283,0.2105044916648343,0.26638501585212
-0.5991746255536656,-0.6017357879142573,0.0,0.010000000000000002,-1.0066370614359172,0.4,0.2704800019932103,0.23414559055586262,0.2900261147431483
-0.5991746255536656,-0.6017357879142573,0.0,0.010000000000000002,-0.7566370614359172,0.4,0.3097051794057234,0.30979912301464013,0.3656796472019258
-0.5991746255536656,-0.6017357879142573,0.0,0.010000000000000002,-0.5066370614359172,0.4,0.3113553268059079,0.170034219943702,0.22591474413098767
