s,n,alpha,v,v_comm,delta
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.05000000075578111,0.05904000089242632,5.133106895566595e-24
-0.0020750937786871712,-0.0014245215307364806,0.001330616546851095,0.10941373300386481,0.11725148643770254,0.008087600555394522
6.444992587663172e-05,-0.0013831645384897503,0.0008702087642577023,0.134183078458811,0.14163518149725413,0.057293092735003756
0.0013157201725783221,-0.0013193355499370488,0.0007405787043763658,0.17096814935667642,0.17801987301427705,0.10477972200935068
0.0014943341265655134,-0.0013106681262390106,0.001577471514017186,0.22904400994192875,0.23474049385144058,0.10934439403872742
0.0036173751772191837,-0.0011401790263844758,0.0018510590223514735,0.2538779059496494,0.25956689469887767,0.16387666999903822
0.005446269028498839,-0.0009611356177259557,0.002344687439343186,0.29130896741171836,0.2963827256234616,0.1872406759870034
0.008132742732224753,-0.0006931178669808676,0.00309851126586606,0.30694557500119063,0.31176232424455247,0.19550834474195822
0.0102275555582074,-0.00045074234763244894,0.003929506338150522,0.34907112696684567,0.3531954853197168,0.21691205662948795
0.013579242439435538,-7.653067856040605e-05,0.005153132554025471,0.34817180045638,0.3523109404668036,0.2148875974666935
0.016516081501608524,0.00026609640984441606,0.006306215965185097,0.36656284064752703,0.3703996988337191,0.22229719075478552
0.019340056812392654,0.0006186906729666462,0.007566501768096488,0.39653815933772474,0.39988233228580794,0.23406925394660846
0.022573678752194026,0.0010337831428043009,0.009073212622322002,0.41604773585045973,0.419071242304587,0.24004846408155847
0.025784306875359875,0.001459153926376512,0.010629810071793403,0.4453062595764562,0.4478488622951578,0.2443457690682562
0.029347895249605814,0.0019354326924663488,0.012350658361128536,0.46614619665977436,0.46834626659441336,0.24434600776482152
0.0330435452201729,0.002435903491666034,0.014135257477268187,0.48878470098378557,0.49061267622916954,0.24434604167760607
0.03698748131206901,0.0029766738970058476,0.016039722513437812,0.5056522981844598,0.507203031468579,0.2443460485885579
0.04096153547430238,0.00352963668339251,0.017958703347837994,0.5306947398272486,0.5318338664341752,0.2443460612993331
0.04538225798699485,0.0041519327171556574,0.020093330130616448,0.5333917471739852,0.534486544787422,0.24434605570267656
0.049686449849897577,0.004767649045665696,0.02217165549320823,0.548570033784022,0.5494153555593497,0.24434605988950678
0.05402102498253305,0.005397159536934573,0.02426461647576539,0.5721651225156186,0.5726226268325099,0.24434606763339417
0.05877093297993526,0.006095746509769086,0.026558075138820077,0.5723826784380092,0.5728366069266428,0.24434606119460625
0.06344734015794475,0.006794569309966365,0.028816003017985817,0.5804524697300996,0.5807737601945802,0.24434605840180634
0.06821873767206797,0.007518186299812009,0.03111974955648692,0.5849766136012952,0.5852235435919595,0.2443460516854186
0.07314110268532927,0.008275437193875163,0.03349633626688589,0.5767988435708845,0.5771801863635008,0.24434602159994778
0.07800948068827486,0.009035848144495352,0.03584680676181023,0.5681175873541645,0.5686416184307778,0.24434590544226173
0.0827221507780194,0.009783336482930224,0.038122046174309226,0.5691137185923605,0.5696213768937095,0.24434542225181224
0.08749032975446247,0.010543230670387064,0.04036834148201957,0.5652544569426263,0.5658255474718162,0.24140891667425757
0.09201658134113494,0.01127784453895478,0.04251826840841305,0.583192889416314,0.5834691373462924,0.2423796940475265
0.09687505993097355,0.01206544659405196,0.044742714612091394,0.580838420216847,0.5811533670587549,0.23818471431082083
0.10161378363159516,0.012839808918486954,0.04687417729821605,0.5895783325395593,0.5897496270043737,0.2363289035335191
0.10649742941675094,0.013638862306844173,0.0489990140276092,0.5899533276094612,0.5901184585189406,0.2326745215730786
0.1113102549421048,0.014431864634115232,0.05105352382639581,0.5985923557081533,0.5986154924103314,0.23073614029731898
0.11627504178328696,0.015071601187029321,0.051669475345540866,0.5987101121985238,0.5983298707259694,0.15654602219930772
0.12120329691680619,0.015771802509790454,0.052775863514900045,0.5991408986812666,0.5981417286710008,0.1804330358429195
0.12611832458875466,0.016483332964441582,0.05394471897179034,0.5994209528055349,0.598024579023877,0.18413390410615652
0.13112801164395724,0.017303705808407743,0.055850854836369805,0.5948929008749535,0.5949768431620186,0.22001039506648648
0.13604280661408744,0.018111929077081704,0.057673207404601995,0.5973963238447477,0.5974391189615424,0.21708540463508053
0.14098067985714344,0.018827328776957086,0.05866056459818995,0.5988109090058008,0.5983298272581238,0.17551851270389904
0.14594428708972518,0.019559240356922063,0.05971708798785639,0.5987730362767907,0.598341628606861,0.17816206529321102
0.15089955955697543,0.020291795714795093,0.06074626041562332,0.5988224249894221,0.598193905499377,0.17695744929022628
0.15586988309105174,0.02110882137453068,0.06239574750399418,0.5992499117427751,0.5992622406148396,0.2075965302168763
0.16068717538548669,0.021852785770400424,0.06354866125777181,0.601565538843469,0.5981900742479471,0.18635292735748685
0.16569958432874332,0.02259756548807567,0.06446995925693583,0.5986717006123115,0.5981535496196454,0.1711287384420129
0.17065991438104255,0.023332798094206814,0.06533104796915415,0.5987983019364008,0.5981560216807059,0.16867140768792394
0.17566358782992703,0.024152139018493425,0.06678748123761077,0.5963292902066691,0.5963896234763442,0.19800258589110287
0.18067235310711532,0.024970985694334945,0.06817755176648184,0.5914499229588657,0.5915904552829409,0.19435511867814365
0.18551923806748336,0.025689795058258764,0.06888063879265789,0.5987732417222226,0.5981631342548737,0.16282983618463887
0.1905394609151324,0.026508058071077225,0.07017349365087373,0.5951375994157097,0.5952175197485612,0.1899281437995249
0.19557449921459424,0.027325785140859454,0.07139505362236512,0.5870769175199104,0.5872893261515589,0.18578926737212936
0.20056411324262402,0.0281312565900738,0.07252104137037545,0.5778474673508901,0.5782115745816816,0.18160388556422757
0.20535680815753962,0.028905601053495714,0.07356359107081108,0.5825546347504005,0.5828413732661137,0.17980924995823863
0.21034167348143,0.029705104588969813,0.07456352123744042,0.5708283377721557,0.5713078139691129,0.17541723792896968
0.21495868918798888,0.03045101962307276,0.07549259254885772,0.5885001308351283,0.5886891470151899,0.1758103955383254
0.21980535930311523,0.031234918746580975,0.07644172518495647,0.5968295307587965,0.5968816418928354,0.17457001337085937
0.22465293339978754,0.031926831376597756,0.07661937646200496,0.5994339501109897,0.5965344285899798,0.13735700539451023
0.22970629074108975,0.03273711705515116,0.07751207711239878,0.5946470073291119,0.5947349912118839,0.17044425105875288
0.234502516989948,0.03346104033863012,0.07796688615660408,0.6010221501590972,0.598155035691928,0.15106810979920346
0.23952405523079406,0.03415271116440918,0.07789562730143212,0.597641776931505,0.5965226625726612,0.12266460639185557
0.2444270853116315,0.03480661369177462,0.07765733331679399,0.5988589740450088,0.5964879036367245,0.11424079441036909
0.2494450271826419,0.035487079393906586,0.07751555651511706,0.5970812325747581,0.5964684792034451,0.11894364681548027
0.25455046188546643,0.0362854683646732,0.0782234737961446,0.5858221958353789,0.5860552275288851,0.162472486706495
0.2594767002081199,0.03705802295712319,0.07889786724218892,0.5852337696741596,0.5854764729540249,0.16029382429446185
0.26426024271944043,0.037734201964675605,0.0789369038234533,0.5985533872186011,0.5981082546293335,0.12990616421992773
0.2692599117725742,0.03844129645260642,0.07898106929963813,0.5988172827906483,0.5981538701208923,0.12843637296135713
0.2743033268980761,0.03922629126637676,0.07959758967077485,0.5968547862633531,0.596906482288728,0.15702019606735015
0.2794452292359296,0.040020234760632725,0.08015029799281817,0.582556057557965,0.5828427726878819,0.1529638614649105
0.2840857202884748,0.04067639882275887,0.08014716808926356,0.6003660534910841,0.5980851185781847,0.1288581349038341
0.2891631389853857,0.04145686001105721,0.08064672442178178,0.5967236605963846,0.5967775118508998,0.15128834682394995
0.29426698990863986,0.042236559784866255,0.08109042714073254,0.5873451392404578,0.5875531392823524,0.14807256371062605
0.29923414179176255,0.0429916398730224,0.08147705345247556,0.5855659155459289,0.5858031595554571,0.1459342064111783
0.3042175914918202,0.04374482860891823,0.08181628000082031,0.58086887995536,0.5811833261498682,0.14350541040988146
0.3090892334551369,0.0444791633824024,0.08211994885100793,0.5845155117283977,0.5847700205570351,0.14218081053449802
0.31392896627410694,0.04520858876084688,0.08241007509463982,0.5947674031179415,0.5948534081317366,0.14163835434517533
0.3190439250137977,0.04597318509046084,0.08265686499220505,0.5839073787418946,0.5841718830654357,0.1386070480174382
0.32403415603037644,0.046714154207757194,0.08284930680140487,0.5781766240501139,0.5785353211416814,0.13628737165734164
0.3289139960427111,0.047435947145822575,0.08300875830171638,0.5797762646874454,0.5801086695038097,0.13491742793579703
