velocity,init_velocity,target_velocity
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
0.004842470400035381,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
-0.0,0.6,0.2
0.005073059815913439,0.6,0.2
0.17755720019340515,0.6,0.2
0.29931071400642395,0.6,0.2
0.271178275346756,0.6,0.2
0.2333608865737915,0.6,0.2
0.27901846170425415,0.6,0.2
0.3050755262374878,0.6,0.2
0.3652605414390564,0.6,0.2
0.38739752769470215,0.6,0.2
0.45150259137153625,0.6,0.2
0.522525429725647,0.6,0.2
0.522986650466919,0.6,0.2
0.5714113712310791,0.6,0.2
0.613840639591217,0.6,0.2
0.5884752869606018,0.6,0.2
0.6290597915649414,0.6,0.2
0.6149935722351074,0.6,0.2
0.6493520736694336,0.6,0.2
0.6198360323905945,0.6,0.2
0.6442790031433105,0.6,0.2
0.6087675094604492,0.6,0.2
0.6442790031433105,0.6,0.2
0.6442790031433105,0.6,0.2
0.6053085923194885,0.6,0.2
0.5935483574867249,0.6,0.2
0.6341328620910645,0.6,0.2
0.6053085923194885,0.6,0.2
0.6341328620910645,0.6,0.2
0.6239867210388184,0.6,0.2
0.5935483574867249,0.6,0.2
0.613840639591217,0.6,0.2
0.5810962319374084,0.6,0.2
0.5810962319374084,0.6,0.2
0.6036944389343262,0.6,0.2
0.5631099343299866,0.6,0.2
0.5986214280128479,0.6,0.2
0.5810962319374084,0.6,0.2
0.6087675094604492,0.6,0.2
0.6036944389343262,0.6,0.2
0.5783291459083557,0.6,0.2
0.6036944389343262,0.6,0.2
0.6189136505126953,0.6,0.2
0.5907812118530273,0.6,0.2
0.5732560753822327,0.6,0.2
0.5859388113021851,0.6,0.2
0.613840639591217,0.6,0.2
0.5810962319374084,0.6,0.2
0.613840639591217,0.6,0.2
0.6087675094604492,0.6,0.2
0.5907812118530273,0.6,0.2
0.6189136505126953,0.6,0.2
0.6189136505126953,0.6,0.2
0.5884752869606018,0.6,0.2
0.6189136505126953,0.6,0.2
0.5907812118530273,0.6,0.2
0.6239867210388184,0.6,0.2
0.5859388113021851,0.6,0.2
0.613840639591217,0.6,0.2
0.5783291459083557,0.6,0.2
0.5859388113021851,0.6,0.2
0.5907812118530273,0.6,0.2
0.613840639591217,0.6,0.2
0.5834022164344788,0.6,0.2
0.6036944389343262,0.6,0.2
0.5956236720085144,0.6,0.2
0.6239867210388184,0.6,0.2
0.6004661917686462,0.6,0.2
0.6239867210388184,0.6,0.2
0.613840639591217,0.6,0.2
0.5859388113021851,0.6,0.2
0.5907812118530273,0.6,0.2
0.613840639591217,0.6,0.2
0.5834022164344788,0.6,0.2
0.6087675094604492,0.6,0.2
0.613840639591217,0.6,0.2
0.5956236720085144,0.6,0.2
0.6290597915649414,0.6,0.2
0.5884752869606018,0.6,0.2
0.5956236720085144,0.6,0.2
0.6239867210388184,0.6,0.2
0.5907812118530273,0.6,0.2
0.6189136505126953,0.6,0.2
0.5884752869606018,0.6,0.2
0.6087675094604492,0.6,0.2
0.5810962319374084,0.6,0.2
0.5956236720085144,0.6,0.2
0.613840639591217,0.6,0.2
0.6087675094604492,0.6,0.2
0.6239867210388184,0.6,0.2
0.6189136505126953,0.6,0.2
0.5834022164344788,0.6,0.2
0.613840639591217,0.6,0.2
0.613840639591217,0.6,0.2
0.5859388113021851,0.6,0.2
0.613840639591217,0.6,0.2
0.6036944389343262,0.6,0.2
0.5859388113021851,0.6,0.2
0.6189136505126953,0.6,0.2
0.5907812118530273,0.6,0.2
0.6189136505126953,0.6,0.2
0.5884752869606018,0.6,0.2
0.5907812118530273,0.6,0.2
0.6239867210388184,0.6,0.2
0.5956236720085144,0.6,0.2
