s,x,y,psi_curve,curvature,v,a
0.010001934927688498,0.020002800943418,0.0001783709880596,0.01797686827519495,0.9006604947605468,0.0,0.0
0.0400077397107538,0.0499929722732759,0.0011190200330155,0.0446026040234981,0.874628774165702,0.0,0.0
0.07001354449381919,0.0799481660929469,0.0028465708895275,0.0704986551335699,0.8519913850854998,0.0,0.0
0.10001934927688459,0.109849432544515,0.0053395111402139,0.09576403229998386,0.8325629755342938,0.0,0.0
0.1300251540599499,0.1396791062844366,0.0085788107964674,0.1204925385615027,0.8161819576395737,0.0,0.0
0.16003095884301533,0.1694205102527389,0.0125478196478656,0.14477349413788604,0.8027111848403472,0.0,0.0
0.1900367636260807,0.1990576882427225,0.0172321690602996,0.16869247338341806,0.7920381302772554,0.0,0.0
0.2200425684091461,0.2285751603701197,0.022619680875942,0.19233204268813134,0.7840748029444219,0.0,0.0
0.25004837319221146,0.25795769599372,0.028700285051582,0.2157724941109462,0.7787575697575027,0.0,0.0
0.28005417797527676,0.2871900990446241,0.0354659469158111,0.2390925737022476,0.7760469957781762,0.0,0.0
0.3100599827583422,0.3162570010550186,0.0429106043515881,0.2623702062780226,0.7759277770208226,0.0,0.0
0.3400657875414075,0.3451426574284938,0.051030114754911,0.2856832202542976,0.7784088183527007,0.0,0.0
0.3700715923244729,0.3738307426592537,0.0598222112294992,0.309110077183354,0.7835234702321722,0.0,0.0
0.40007739710753826,0.4023041402893543,0.0692864671047286,0.3327306110119652,0.7913299380908395,0.0,0.0
0.4300832018906037,0.4305447233981506,0.0794242674662601,0.35662678180176166,0.8019118329307796,0.0,0.0
0.460089006673669,0.458533121358224,0.0902387859219497,0.38088344765640914,0.8153788220754855,0.0,0.0
0.4900948114567344,0.4862484684855876,0.1017349642427563,0.4055891566743901,0.8318672968706293,0.0,0.0
0.5201006162397998,0.5136681300872644,0.1139194917659336,0.4308369576372909,0.8515409278866455,0.0,0.0
0.5501064210228651,0.5407674013097267,0.1268007804630331,0.45672522334874144,0.8745909133579814,0.0,0.0
0.5801122258059305,0.5675191741832503,0.1403889302840248,0.4833584733981814,0.9012356346191704,0.0,0.0
0.6101180305889958,0.5938935684396388,0.1546956777041819,0.5108481728043711,0.9317193128962996,0.0,0.0
0.6401238353720612,0.6198575222026006,0.169734318224292,0.5393134681997956,0.9663090751758989,0.0,0.0
0.6701296401551265,0.6453743397290247,0.1855195908039588,0.5688818025126495,1.0052896303360517,0.0,0.0
0.700135444938192,0.6704031953281,0.202067508749127,0.5996893205807199,1.0489544471264634,0.0,0.0
0.7301412497212574,0.6948985958412176,0.2193951173747024,0.6318809397700667,1.0975919688528855,0.0,0.0
0.7601470545043227,0.7188098092207132,0.2375201538612983,0.6656099095308723,1.1514649825508003,0.0,0.0
0.7901528592873881,0.7420802745638074,0.2564605793457492,0.7010366208745548,1.2107808369658328,0.0,0.0
0.8201586640704535,0.764647020357812,0.2762339479779372,0.738326352180089,1.2756498723255985,0.0,0.0
0.8501644688535188,0.7864401336502488,0.2968565735217936,0.7776455574287893,1.3460294221509932,0.0,0.0
0.8801702736365842,0.8073823441630893,0.3183424529489518,0.8191562310116346,1.421651381828569,0.0,0.0
0.9101760784196495,0.8273888141372409,0.340701911309312,0.8630078470837992,1.5019331882696432,0.0,0.0
0.9401818832027148,0.8463672555156792,0.3639399471239495,0.9093264165695262,1.5858757476249998,0.0,0.0
0.9701876879857804,0.864218526787668,0.3880542877714223,0.9582003974849381,1.671958061619744,0.0,0.0
1.0001934927688456,0.8808378840383515,0.4130332148646114,1.009663613647823,1.7580471637292276,0.0,0.0
1.0301992975519112,0.8961170608229986,0.4388532929189186,1.0636760502223772,1.8413523549265087,0.0,0.0
1.0602051023349766,0.9099473111926406,0.4654772265230631,1.120104403369284,1.9184612462738888,0.0,0.0
1.090210907118042,0.9222234511609388,0.4928521659632369,1.1787054240969053,1.985495651128659,0.0,0.0
1.1202167119011073,0.9328487672258444,0.520908848328942,1.2391160615389785,2.0384104743219087,0.0,0.0
1.1502225166841726,0.9417404404449202,0.5495619588817842,1.300854633174872,2.0734239825455796,0.0,0.0
1.180228321467238,0.9488349092011856,0.578711987753524,1.3633361767328034,2.087518224278968,0.0,0.0
1.2102341262503034,0.9540924418468828,0.6082486297529912,1.4259025701388564,2.078902401387675,0.0,0.0
1.2402399310333687,0.9575001938954087,0.6380554702286364,1.4878644435777302,2.04731604652054,0.0,0.0
1.270245735816434,0.9590732240572072,0.6680154074910548,1.5485485702811372,1.9940810861120568,0.0,0.0
1.3002515405994992,0.9588533027542986,0.6980160880428261,1.607342725590889,1.9218853470616415,0.0,0.0
1.3302573453825648,0.9569057561891364,0.7279546425304423,1.663730742234804,1.8343621418125575,0.0,0.0
1.3602631501656302,0.9533149156576436,0.7577411995861318,1.717313324511972,1.7355827689806818,0.0,0.0
1.3902689549486955,0.9481788943203006,0.7873009434041687,1.7678138603783786,1.629581887795702,0.0,0.0
1.4202747597317609,0.9416043790706976,0.8165747659484598,1.8150715849816472,1.5199986134729955,0.0,0.0
1.450280564514826,0.9337019580628052,0.8455187681898503,1.8590261612514947,1.4098644097864783,0.0,0.0
1.4802863692978916,0.9245822862833608,0.8741029584804985,1.8996979885350462,1.3015258755484056,0.0,0.0
1.510292174080957,0.9143531910058772,0.9023094951726588,1.9371677909552236,1.1966671767689991,0.0,0.0
1.5402979788640223,0.9031176732350432,0.9301307609559534,1.9715578666794422,1.0963919069863013,0.0,0.0
1.5703037836470877,0.8909726776888192,0.9575674743274096,2.0030162493413224,1.0013305194097917,0.0,0.0
